iter	R2	RMSE
507	0.9933927231	31232.03648
508	0.993467806	31054.07431
509	0.9934799509	31025.19227
510	0.993516894	30937.17193
511	0.9935266443	30913.89916
512	0.9935372367	30888.59646
513	0.9935853423	30773.42201
514	0.9935955352	30748.96278
515	0.9936061909	30723.37228
516	0.9936696261	30570.5837
517	0.9937339193	30414.94545
518	0.9937440507	30390.34705
519	0.9937716724	30323.18194
520	0.9938407081	30154.66055
521	0.9938497146	30132.60535
522	0.9938568942	30115.01249
523	0.9938806312	30056.77384
524	0.9939391507	29912.71219
525	0.9939491099	29888.12566
526	0.9939582125	29865.63624
527	0.9939977015	29767.87571
528	0.9940047689	29750.3456
529	0.9940141406	29727.08369
530	0.9940564874	29621.74534
531	0.9940818599	29558.45086
532	0.9940912011	29535.11428
533	0.9941469323	29395.49805
534	0.994155406	29374.21199
535	0.9942020444	29256.77768
536	0.9942227303	29204.53993
537	0.994230471	29184.96849
538	0.9942393717	29162.44797
539	0.9942761822	29069.12437
540	0.9942838263	29049.7072
541	0.9943195118	28958.88797
542	0.9943566309	28864.11711
543	0.9943642237	28844.69315
544	0.9943709274	28827.53269
545	0.9943970194	28760.64421
546	0.9945332963	28408.72988
547	0.9945419909	28386.12939
548	0.994571893	28308.26473
549	0.9945791698	28289.2838
550	0.9946069085	28216.81184
551	0.9946171528	28189.99988
552	0.9946253402	28168.55318
553	0.9946335119	28147.13097
554	0.9946597997	28078.10698
555	0.9946747707	28038.72149
556	0.994735183	27879.22456
557	0.9947737843	27776.83204
558	0.9948491491	27575.82661
559	0.9948720127	27514.55657
560	0.9948791325	27495.44923
561	0.9948860925	27476.75773
562	0.9949015068	27435.31637
563	0.994908345	27416.91166
564	0.9949403352	27330.64757
565	0.9949683071	27254.99536
566	0.9949913192	27192.59968
567	0.9949983602	27173.47974
568	0.9950056772	27153.59616
569	0.9950468958	27041.31329
570	0.9950682447	26982.97372
571	0.9950738348	26967.6768
572	0.99508251	26943.92087
573	0.9950915314	26919.19428
574	0.9951285781	26817.41544
575	0.9951503287	26757.47958
576	0.9951655953	26715.33043
577	0.9951718107	26698.15144
578	0.9951777963	26681.59724
579	0.9951919378	26642.44571
580	0.9951989807	26622.92529
581	0.9952052285	26605.59704
582	0.9952121922	26586.2696
583	0.9952324817	26529.8768
584	0.9952408036	26506.71234
585	0.9952465793	26490.62319
586	0.9952891016	26371.86948
587	0.9952960135	26352.51589
588	0.9953619243	26167.24296
589	0.9953677434	26150.82246
590	0.9953955401	26072.24303
591	0.9954013058	26055.91425
592	0.9954256144	25986.95753
593	0.9954322662	25968.05619
594	0.9954387107	25949.73093
595	0.9954450318	25931.74393
596	0.995450505	25916.15948
597	0.9954669943	25869.15139
598	0.9954978247	25781.02924
599	0.9955041549	25762.89844
600	0.9955099676	25746.2384
601	0.9955246801	25704.02238
602	0.9955453079	25644.7162
603	0.9955824063	25537.70908
604	0.9956015434	25482.33409
605	0.9956559208	25324.32733
606	0.9956736725	25272.5315
607	0.9956799689	25254.13424
608	0.9957023573	25188.61015
609	0.9957068685	25175.38627
610	0.9957128416	25157.86688
611	0.9957182569	25141.9727
612	0.9957247685	25122.84787
613	0.995730513	25105.96388
614	0.9957613285	25015.19709
615	0.9957669875	24998.49289
616	0.9957723173	24982.7499
617	0.9957823828	24952.99226
618	0.9957873218	24938.37738
619	0.9957930496	24921.4178
